"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"189",9,"2000-2001","Shrubland","Gain",2303,6.95,1.5,469,1834,79.62,0,1.13
"190",9,"2000-2001","Other Vegetation","Gain",3,1.32,1.5,3,0,0,12.02,1.13
"191",9,"2000-2001","Cropland","Gain",184,1.67,1.5,165,19,10.41,0,1.13
"192",9,"2000-2001","Non-Vegetation","Gain",0,0,1.5,78,78,0,100,1.13
"193",10,"2001-2002","Forest","Gain",0,0,2.14,3304,3304,0,100,1.59
"194",10,"2001-2002","Mosaic Vegetation","Gain",847,6.89,2.14,250,597,70.46,0,1.59
"195",10,"2001-2002","Shrubland","Gain",3579,9.76,2.14,723,2856,79.79,0,1.59
"196",10,"2001-2002","Other Vegetation","Gain",0,0,2.14,5,5,0,100,1.59
"197",10,"2001-2002","Cropland","Gain",208,1.85,2.14,241,33,0,13.54,1.59
"198",10,"2001-2002","Non-Vegetation","Gain",1,0.02,2.14,112,111,0,99.11,1.59
"199",11,"2002-2003","Forest","Gain",22,0.01,0.21,321,299,0,93.14,0.14
"200",11,"2002-2003","Mosaic Vegetation","Gain",127,1.02,0.21,26,101,79.42,0,0.14
"201",11,"2002-2003","Shrubland","Gain",279,0.76,0.21,78,201,72.08,0,0.14
"202",11,"2002-2003","Other Vegetation","Gain",0,0,0.21,0,0,0,100,0.14
"203",11,"2002-2003","Cropland","Gain",32,0.28,0.21,24,8,25.51,0,0.14
"204",11,"2002-2003","Non-Vegetation","Gain",0,0,0.21,11,11,0,100,0.14
"205",12,"2003-2004","Forest","Gain",9,0.01,2.81,4181,4172,0,99.78,2.07
"206",12,"2003-2004","Mosaic Vegetation","Gain",891,6.69,2.81,358,533,59.77,0,2.07
"207",12,"2003-2004","Shrubland","Gain",5018,11.99,2.81,1063,3955,78.81,0,2.07
"208",12,"2003-2004","Other Vegetation","Gain",1,0.44,2.81,7,6,0,84.74,2.07
"209",12,"2003-2004","Cropland","Gain",163,1.43,2.81,324,161,0,49.77,2.07
"210",12,"2003-2004","Non-Vegetation","Gain",0,0,2.81,148,148,0,100,2.07
"211",13,"2004-2005","Forest","Gain",6,0,0.3,438,432,0,98.63,0.21
"212",13,"2004-2005","Mosaic Vegetation","Gain",192,1.42,0.3,40,152,78.94,0,0.21
"213",13,"2004-2005","Shrubland","Gain",378,0.9,0.3,127,251,66.36,0,0.21
"214",13,"2004-2005","Other Vegetation","Gain",0,0,0.3,1,1,0,100,0.21
"215",13,"2004-2005","Cropland","Gain",77,0.67,0.3,35,42,54.98,0,0.21
"216",13,"2004-2005","Non-Vegetation","Gain",4,0.08,0.3,16,12,0,74.37,0.21
"217",14,"2005-2006","Forest","Gain",23,0.02,0.07,106,83,0,78.26,0.04
"218",14,"2005-2006","Mosaic Vegetation","Gain",40,0.3,0.07,10,30,75.24,0,0.04
"219",14,"2005-2006","Shrubland","Gain",59,0.14,0.07,31,28,47.58,0,0.04
"220",14,"2005-2006","Other Vegetation","Gain",0,0,0.07,0,0,0,100,0.04
"221",14,"2005-2006","Cropland","Gain",37,0.32,0.07,8,29,77.22,0,0.04
"222",14,"2005-2006","Non-Vegetation","Gain",0,0,0.07,4,4,0,100,0.04
"223",15,"2006-2007","Forest","Gain",9,0.01,0.21,310,301,0,97.09,0.14
"224",15,"2006-2007","Mosaic Vegetation","Gain",122,0.89,0.21,29,93,76.13,0,0.14
"225",15,"2006-2007","Shrubland","Gain",252,0.59,0.21,91,161,63.99,0,0.14
"226",15,"2006-2007","Other Vegetation","Gain",1,0.44,0.21,0,1,51.32,0,0.14
"227",15,"2006-2007","Cropland","Gain",80,0.69,0.21,25,55,68.98,0,0.14
"228",15,"2006-2007","Non-Vegetation","Gain",2,0.04,0.21,11,9,0,81.89,0.14
"229",16,"2007-2008","Forest","Gain",58,0.04,0.2,291,233,0,80.08,0.11
"230",16,"2007-2008","Mosaic Vegetation","Gain",192,1.39,0.2,28,164,85.59,0,0.11
"231",16,"2007-2008","Shrubland","Gain",162,0.38,0.2,86,76,47.05,0,0.11
"232",16,"2007-2008","Other Vegetation","Gain",1,0.44,0.2,0,1,53.95,0,0.11
"233",16,"2007-2008","Cropland","Gain",25,0.22,0.2,24,1,5.91,0,0.11
"234",16,"2007-2008","Non-Vegetation","Gain",1,0.02,0.2,10,9,0,90.38,0.11
"235",17,"2008-2009","Forest","Gain",29,0.02,0.27,386,357,0,92.48,0.18
"236",17,"2008-2009","Mosaic Vegetation","Gain",262,1.86,0.27,37,225,85.77,0,0.18
"237",17,"2008-2009","Shrubland","Gain",274,0.64,0.27,114,160,58.25,0,0.18
"238",17,"2008-2009","Other Vegetation","Gain",0,0,0.27,1,1,0,100,0.18
"239",17,"2008-2009","Cropland","Gain",16,0.14,0.27,31,15,0,48.91,0.18
"240",17,"2008-2009","Non-Vegetation","Gain",2,0.04,0.27,14,12,0,85.47,0.18
"241",18,"2009-2010","Forest","Gain",1,0,0.32,454,453,0,99.78,0.22
"242",18,"2009-2010","Mosaic Vegetation","Gain",220,1.54,0.32,45,175,79.59,0,0.22
"243",18,"2009-2010","Shrubland","Gain",442,1.03,0.32,136,306,69.22,0,0.22
"244",18,"2009-2010","Other Vegetation","Gain",1,0.44,0.32,1,0,27.32,0,0.22
"245",18,"2009-2010","Cropland","Gain",22,0.19,0.32,37,15,0,40.66,0.22
"246",18,"2009-2010","Non-Vegetation","Gain",3,0.06,0.32,16,13,0,81.57,0.22
"247",19,"2010-2011","Forest","Gain",19,0.01,0.22,318,299,0,94.03,0.14
"248",19,"2010-2011","Mosaic Vegetation","Gain",84,0.58,0.22,32,52,61.88,0,0.14
"249",19,"2010-2011","Shrubland","Gain",344,0.79,0.22,97,247,71.92,0,0.14
"250",19,"2010-2011","Other Vegetation","Gain",0,0,0.22,1,1,0,100,0.14
"251",19,"2010-2011","Cropland","Gain",37,0.32,0.22,26,11,29.53,0,0.14
"252",19,"2010-2011","Non-Vegetation","Gain",1,0.02,0.22,11,10,0,91.27,0.14
"253",20,"2011-2012","Forest","Gain",7,0,0.04,50,43,0,86.12,0.02
"254",20,"2011-2012","Mosaic Vegetation","Gain",37,0.26,0.04,5,32,86.21,0,0.02
"255",20,"2011-2012","Shrubland","Gain",20,0.05,0.04,15,5,22.88,0,0.02
"256",20,"2011-2012","Other Vegetation","Gain",0,0,0.04,0,0,0,100,0.02
"257",20,"2011-2012","Cropland","Gain",9,0.08,0.04,4,5,53.95,0,0.02
"258",20,"2011-2012","Non-Vegetation","Gain",4,0.08,0.04,2,2,54.63,0,0.02
"259",21,"2012-2013","Forest","Gain",5,0,0.17,236,231,0,97.88,0.11
"260",21,"2012-2013","Mosaic Vegetation","Gain",119,0.82,0.17,24,95,79.88,0,0.11
"261",21,"2012-2013","Shrubland","Gain",186,0.43,0.17,72,114,61.17,0,0.11
"262",21,"2012-2013","Other Vegetation","Gain",0,0,0.17,0,0,0,100,0.11
"263",21,"2012-2013","Cropland","Gain",44,0.38,0.17,19,25,55.89,0,0.11
"264",21,"2012-2013","Non-Vegetation","Gain",6,0.12,0.17,9,3,0,29.43,0.11
"265",22,"2013-2014","Forest","Gain",31,0.02,0.33,460,429,0,93.26,0.2
"266",22,"2013-2014","Mosaic Vegetation","Gain",181,1.23,0.33,47,134,73.85,0,0.2
"267",22,"2013-2014","Shrubland","Gain",435,0.99,0.33,142,293,67.31,0,0.2
"268",22,"2013-2014","Other Vegetation","Gain",1,0.44,0.33,1,0,26.6,0,0.2
"269",22,"2013-2014","Cropland","Gain",46,0.39,0.33,38,8,17.16,0,0.2
"270",22,"2013-2014","Non-Vegetation","Gain",11,0.21,0.33,17,6,0,34.11,0.2
"271",23,"2014-2015","Forest","Gain",0,0,0,1,1,0,100,0
"272",23,"2014-2015","Mosaic Vegetation","Gain",0,0,0,0,0,0,100,0
"273",23,"2014-2015","Shrubland","Gain",0,0,0,0,0,0,100,0
"274",23,"2014-2015","Other Vegetation","Gain",0,0,0,0,0,0,100,0
"275",23,"2014-2015","Cropland","Gain",0,0,0,0,0,0,100,0
"276",23,"2014-2015","Non-Vegetation","Gain",1,0.02,0,0,1,97.63,0,0
