Interval*, Id_From*, Id_To*, Category_name_from, Category_name_To, Number_of_pixels, 
18, 3, 1, Cropland, Forest, 7, 
18, 3, 2, Cropland, Other Vegetation, 4, 
18, 3, 3, Cropland, Cropland, 332555, 
18, 3, 4, Cropland, Non-Forest, 93, 
18, 4, 1, Non-Forest, Forest, 14, 
18, 4, 2, Non-Forest, Other Vegetation, 12, 
18, 4, 3, Non-Forest, Cropland, 16, 
18, 4, 4, Non-Forest, Non-Forest, 1506280, 
19, 1, 1, Forest, Forest, 515513, 
19, 1, 2, Forest, Other Vegetation, 1305, 
19, 1, 3, Forest, Cropland, 174, 
19, 1, 4, Forest, Non-Forest, 6, 
19, 2, 1, Other Vegetation, Forest, 420, 
19, 2, 2, Other Vegetation, Other Vegetation, 538456, 
19, 2, 3, Other Vegetation, Cropland, 22, 
19, 2, 4, Other Vegetation, Non-Forest, 3, 
19, 3, 1, Cropland, Forest, 52, 
19, 3, 2, Cropland, Other Vegetation, 30, 
19, 3, 3, Cropland, Cropland, 332646, 
19, 3, 4, Cropland, Non-Forest, 87, 
19, 4, 1, Non-Forest, Forest, 78, 
19, 4, 2, Non-Forest, Other Vegetation, 9, 
19, 4, 3, Non-Forest, Cropland, 6, 
19, 4, 4, Non-Forest, Non-Forest, 1506307, 
20, 1, 1, Forest, Forest, 515805, 
20, 1, 2, Forest, Other Vegetation, 241, 
20, 1, 3, Forest, Cropland, 15, 
20, 1, 4, Forest, Non-Forest, 2, 
20, 2, 1, Other Vegetation, Forest, 295, 
20, 2, 2, Other Vegetation, Other Vegetation, 539248, 
20, 2, 3, Other Vegetation, Cropland, 249, 
20, 2, 4, Other Vegetation, Non-Forest, 8, 
20, 3, 1, Cropland, Forest, 7, 
20, 3, 2, Cropland, Other Vegetation, 3, 
20, 3, 3, Cropland, Cropland, 332721, 
20, 3, 4, Cropland, Non-Forest, 117, 
20, 4, 1, Non-Forest, Forest, 32, 
20, 4, 2, Non-Forest, Other Vegetation, 0, 
20, 4, 3, Non-Forest, Cropland, 0, 
20, 4, 4, Non-Forest, Non-Forest, 1506371, 
21, 1, 1, Forest, Forest, 515557, 
21, 1, 2, Forest, Other Vegetation, 483, 
21, 1, 3, Forest, Cropland, 72, 
21, 1, 4, Forest, Non-Forest, 27, 
21, 2, 1, Other Vegetation, Forest, 246, 
21, 2, 2, Other Vegetation, Other Vegetation, 539223, 
21, 2, 3, Other Vegetation, Cropland, 13, 
21, 2, 4, Other Vegetation, Non-Forest, 10, 
21, 3, 1, Cropland, Forest, 17, 
21, 3, 2, Cropland, Other Vegetation, 12, 
21, 3, 3, Cropland, Cropland, 332743, 
21, 3, 4, Cropland, Non-Forest, 213, 
21, 4, 1, Non-Forest, Forest, 20, 
21, 4, 2, Non-Forest, Other Vegetation, 0, 
21, 4, 3, Non-Forest, Cropland, 0, 
21, 4, 4, Non-Forest, Non-Forest, 1506478, 
22, 1, 1, Forest, Forest, 513744, 
22, 1, 2, Forest, Other Vegetation, 1533, 
22, 1, 3, Forest, Cropland, 276, 
22, 1, 4, Forest, Non-Forest, 287, 
22, 2, 1, Other Vegetation, Forest, 1407, 
22, 2, 2, Other Vegetation, Other Vegetation, 538262, 
22, 2, 3, Other Vegetation, Cropland, 24, 
22, 2, 4, Other Vegetation, Non-Forest, 25, 
22, 3, 1, Cropland, Forest, 151, 
22, 3, 2, Cropland, Other Vegetation, 13, 
22, 3, 3, Cropland, Cropland, 332381, 
22, 3, 4, Cropland, Non-Forest, 283, 
22, 4, 1, Non-Forest, Forest, 137, 
22, 4, 2, Non-Forest, Other Vegetation, 20, 
22, 4, 3, Non-Forest, Cropland, 47, 
22, 4, 4, Non-Forest, Non-Forest, 1506524, 
