"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"188",9,"2000-2001","Mosaic Vegetation","Gain",1681,10.28,3.1,469,1212,72.09,0,1.95
"189",9,"2000-2001","Shrubland","Gain",3009,7.8,3.1,1138,1871,62.19,0,1.95
"190",9,"2000-2001","Other Vegetation","Gain",0,0,3.1,26,26,0,100,1.95
"191",9,"2000-2001","Cropland","Gain",206,2.04,3.1,317,111,0,34.97,1.95
"192",9,"2000-2001","Non-Vegetation","Gain",0,0,3.1,39,39,0,100,1.95
"193",10,"2001-2002","Forest","Gain",1,0,4.57,4017,4016,0,99.98,2.82
"194",10,"2001-2002","Mosaic Vegetation","Gain",1843,10.13,4.57,783,1060,57.54,0,2.82
"195",10,"2001-2002","Shrubland","Gain",5245,11.97,4.57,1845,3400,64.82,0,2.82
"196",10,"2001-2002","Other Vegetation","Gain",36,4.19,4.57,39,3,0,8.57,2.82
"197",10,"2001-2002","Cropland","Gain",101,0.99,4.57,484,383,0,79.13,2.82
"198",10,"2001-2002","Non-Vegetation","Gain",0,0,4.57,59,59,0,100,2.82
"199",11,"2002-2003","Forest","Gain",74,0.09,0.2,168,94,0,55.97,0.07
"200",11,"2002-2003","Mosaic Vegetation","Gain",59,0.32,0.2,37,22,38.1,0,0.07
"201",11,"2002-2003","Shrubland","Gain",182,0.41,0.2,88,94,51.8,0,0.07
"202",11,"2002-2003","Other Vegetation","Gain",0,0,0.2,2,2,0,100,0.07
"203",11,"2002-2003","Cropland","Gain",0,0,0.2,20,20,0,100,0.07
"204",11,"2002-2003","Non-Vegetation","Gain",2,0.16,0.2,2,0,0,18.72,0.07
"205",12,"2003-2004","Forest","Gain",21,0.03,2.53,2071,2050,0,98.99,1.47
"206",12,"2003-2004","Mosaic Vegetation","Gain",711,3.75,2.53,473,238,33.46,0,1.47
"207",12,"2003-2004","Shrubland","Gain",3227,6.86,2.53,1137,2090,64.77,0,1.47
"208",12,"2003-2004","Other Vegetation","Gain",2,0.23,2.53,22,20,0,91.02,1.47
"209",12,"2003-2004","Cropland","Gain",38,0.37,2.53,265,227,0,85.64,1.47
"210",12,"2003-2004","Non-Vegetation","Gain",1,0.08,2.53,32,31,0,96.86,1.47
"211",13,"2004-2005","Forest","Gain",34,0.04,0.08,64,30,0,46.54,0.02
