Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
4, 6, static_var/D_Mill, 117400, 117500, 107, 2, -1.07929223091742, -1.07984972271954, 0, 
4, 6, static_var/D_Mill, 117500, 117700, 226, 3, -1.42703854411185, -1.42840231830556, 1, 
4, 6, static_var/D_Mill, 117700, 117800, 116, 4, -0.450683571495041, -0.451010434841886, 0, 
4, 6, static_var/D_Mill, 117800, 117900, 123, 2, -1.22112242635663, -1.22180864417366, 0, 
4, 6, static_var/D_Mill, 117900, 118000, 121, 4, -0.494358634997703, -0.49472572570962, 0, 
4, 6, static_var/D_Mill, 118000, 118100, 125, 8, 0.198788545562243, 0.198995590074938, 0, 
4, 6, static_var/D_Mill, 118100, 118200, 131, 4, -0.576371786658538, -0.576819336955649, 0, 
4, 6, static_var/D_Mill, 118200, 118500, 393, 9, -0.871897036571345, -0.873696901893389, 1, 
4, 6, static_var/D_Mill, 118500, 119400, 1357, 41, -0.587259106500792, -0.591996373770491, 1, 
4, 6, static_var/D_Mill, 119400, 119500, 150, 2, -1.42254415452401, -1.42344763507288, 1, 
4, 6, static_var/D_Mill, 119500, 119600, 156, 3, -1.05030469404416, -1.05110495188099, 0, 
4, 6, static_var/D_Mill, 119600, 119700, 146, 1, -2.09521280374041, -2.09623558280811, 1, 
4, 6, static_var/D_Mill, 119700, 119800, 142, 3, -0.954340705782419, -0.955028298443936, 0, 
4, 6, static_var/D_Mill, 119800, 120000, 277, 8, -0.63374889924184, -0.634765539622009, 0, 
4, 6, static_var/D_Mill, 120000, 120100, 131, 3, -0.871897036571345, -0.872496115499093, 0, 
4, 6, static_var/D_Mill, 120100, 120200, 123, 1, -1.92250010605309, -1.92333781094978, 0, 
4, 6, static_var/D_Mill, 120200, 120300, 132, 2, -1.29286633121547, -1.29362496469846, 0, 
4, 6, static_var/D_Mill, 120300, 120400, 131, 5, -0.345323055837215, -0.345619056978302, 0, 
4, 6, static_var/D_Mill, 120400, 120500, 124, 1, -1.93066341669225, -1.93150916757983, 0, 
4, 6, static_var/D_Mill, 120500, 120600, 120, 2, -1.19601650522556, -1.19667858565256, 0, 
4, 6, static_var/D_Mill, 120600, 120700, 113, 4, -0.42353258242909, -0.423835310133624, 0, 
4, 6, static_var/D_Mill, 120700, 120800, 120, 3, -0.782040707449484, -0.782551280477452, 0, 
4, 6, static_var/D_Mill, 120800, 120900, 108, 6, 0.0483075946239467, 0.0483482075612504, 0, 
4, 6, static_var/D_Mill, 120900, 121000, 113, 3, -0.720347138444144, -0.720801393614106, 0, 
4, 6, static_var/D_Mill, 121000, 127400, 9766, 207, -0.950998666118231, -1.00081145306885, 1, 
4, 6, static_var/D_Mill, 127400, 127500, 113, 0, -13.5771899150502, 0, 0, 
4, 6, static_var/D_Mill, 127500, 127900, 397, 4, -1.70599431206921, -1.70858446717479, 1, 
4, 6, static_var/D_Mill, 127900, 128100, 200, 3, -1.30307050138972, -1.30422493243705, 1, 
4, 6, static_var/D_Mill, 128100, 128200, 100, 1, -1.71359891145443, -1.71425157642621, 0, 
4, 6, static_var/D_Mill, 128200, 128300, 94, 0, -13.3930971351313, 0, 0, 
4, 6, static_var/D_Mill, 128300, 128400, 100, 1, -1.71359891145443, -1.71425157642621, 0, 
4, 6, static_var/D_Mill, 128400, 128500, 106, 2, -1.06972277990126, -1.07027222687762, 0, 
4, 6, static_var/D_Mill, 128500, 128600, 103, 0, -13.4845312077827, 0, 0, 
4, 6, static_var/D_Mill, 128600, 128700, 105, 2, -1.06006086898953, -1.06060227120484, 0, 
4, 6, static_var/D_Mill, 128700, 128800, 101, 0, -13.4649227639652, 0, 0, 
4, 6, static_var/D_Mill, 128800, 128900, 100, 1, -1.71359891145443, -1.71425157642621, 0, 
